sku,name,barcode,itemcode,description,category,supplier,selling_price,cost_price,vat_exempt,tax_code,stock_quantity,reorder_level,unit,is_active
BEV-0003,BluePeak Flavoured Water,620100000003,1,BluePeak Flavoured Water 500ml Bottle,Beverages,Metro Pharma Supply,85.00,65.00,no,B,21,17,pcs,yes
BEV-0004,Metro Mineral Water,620100000004,1,Metro Mineral Water 500ml Bottle,Beverages,Nairobi Wholesale Traders Ltd,70.00,60.00,no,B,106,15,pcs,yes
BEV-0005,Kijani Juice,620100000005,1,Kijani Juice 1L Pack,Beverages,Mount Kenya Dairy Supply,110.00,75.00,no,B,87,13,pcs,yes
BEV-0006,Kijani Flavoured Water,620100000006,1,Kijani Flavoured Water 500ml Bottle,Beverages,Eastern Hardware Depot,215.00,150.00,no,B,161,21,pcs,yes
BEV-0007,Kijani Energy Drink,620100000007,1,Kijani Energy Drink 250ml Can,Beverages,Mount Kenya Dairy Supply,55.00,35.00,no,B,94,14,pcs,yes
BEV-0008,BluePeak Orange Soda,620100000008,1,BluePeak Orange Soda 300ml Bottle,Beverages,Eastern Hardware Depot,95.00,75.00,no,B,113,17,pcs,yes
BEV-0009,Safari Mineral Water,620100000009,1,Safari Mineral Water 500ml Bottle,Beverages,Mount Kenya Dairy Supply,160.00,125.00,no,B,38,17,pcs,yes
BEV-0010,BluePeak Lemon Soda,620100000010,1,BluePeak Lemon Soda 500ml Bottle,Beverages,Eastern Hardware Depot,110.00,95.00,no,B,162,19,pcs,yes
BEV-0011,Safari Soda Cola,620100000011,1,Safari Soda Cola 300ml Bottle,Beverages,Nairobi Wholesale Traders Ltd,190.00,155.00,no,B,122,20,pcs,yes
BEV-0012,Jambo Energy Drink,620100000012,1,Jambo Energy Drink 250ml Can,Beverages,Mount Kenya Dairy Supply,200.00,140.00,no,B,147,24,pcs,yes
BEV-0013,Metro Lemon Soda,620100000013,1,Metro Lemon Soda 500ml Bottle,Beverages,Metro Pharma Supply,70.00,55.00,no,B,157,20,pcs,yes
BEV-0014,Metro Juice,620100000014,1,Metro Juice 1L Pack,Beverages,Nairobi Wholesale Traders Ltd,85.00,70.00,no,B,150,27,pcs,yes
BEV-0015,Kijani Soda Cola,620100000015,1,Kijani Soda Cola 300ml Bottle,Beverages,Metro Pharma Supply,70.00,45.00,no,B,128,14,pcs,yes
BEV-0016,Jambo Juice,620100000016,1,Jambo Juice 1L Pack,Beverages,Nairobi Wholesale Traders Ltd,220.00,165.00,no,B,161,12,pcs,yes
BEV-0017,Metro Flavoured Water,620100000017,1,Metro Flavoured Water 500ml Bottle,Beverages,Rift Valley Grain Supply,180.00,125.00,no,B,95,25,pcs,yes
BEV-0018,Kijani Iced Tea,620100000018,1,Kijani Iced Tea 500ml Bottle,Beverages,Rift Valley Grain Supply,210.00,175.00,no,B,87,28,pcs,yes
BEV-0019,Kijani Flavoured Water,620100000019,1,Kijani Flavoured Water 500ml Bottle,Beverages,Rift Valley Grain Supply,195.00,135.00,no,B,149,18,pcs,yes
BEV-0020,Safari Mineral Water,620100000020,1,Safari Mineral Water 500ml Bottle,Beverages,Eastern Hardware Depot,140.00,110.00,no,B,155,12,pcs,yes
BEV-0021,Kijani Iced Tea,620100000021,1,Kijani Iced Tea 500ml Bottle,Beverages,Nairobi Wholesale Traders Ltd,65.00,45.00,no,B,98,19,pcs,yes
BEV-0022,Jambo Energy Drink,620100000022,1,Jambo Energy Drink 250ml Can,Beverages,Rift Valley Grain Supply,210.00,135.00,no,B,144,14,pcs,yes
BEV-0023,BluePeak Lemon Soda,620100000023,1,BluePeak Lemon Soda 500ml Bottle,Beverages,Mount Kenya Dairy Supply,210.00,140.00,no,B,155,25,pcs,yes
BEV-0024,Safari Flavoured Water,620100000024,1,Safari Flavoured Water 500ml Bottle,Beverages,Mount Kenya Dairy Supply,170.00,120.00,no,B,115,26,pcs,yes
BEV-0025,Safari Orange Soda,620100000025,1,Safari Orange Soda 300ml Bottle,Beverages,Mount Kenya Dairy Supply,85.00,60.00,no,B,170,29,pcs,yes
BEV-0026,Kijani Energy Drink,620100000026,1,Kijani Energy Drink 250ml Can,Beverages,Nairobi Wholesale Traders Ltd,55.00,40.00,no,B,78,14,pcs,yes
BEV-0027,Kijani Mineral Water,620100000027,1,Kijani Mineral Water 500ml Bottle,Beverages,Rift Valley Grain Supply,135.00,90.00,no,B,144,18,pcs,yes
BEV-0028,Safari Iced Tea,620100000028,1,Safari Iced Tea 500ml Bottle,Beverages,Nairobi Wholesale Traders Ltd,180.00,145.00,no,B,68,15,pcs,yes
BEV-0029,Metro Juice,620100000029,1,Metro Juice 1L Pack,Beverages,Nairobi Wholesale Traders Ltd,120.00,85.00,no,B,33,15,pcs,yes
BEV-0030,Metro Juice,620100000030,1,Metro Juice 1L Pack,Beverages,Mount Kenya Dairy Supply,185.00,120.00,no,B,69,18,pcs,yes
BEV-0031,BluePeak Lemon Soda,620100000031,1,BluePeak Lemon Soda 500ml Bottle,Beverages,Nairobi Wholesale Traders Ltd,75.00,55.00,no,B,39,26,pcs,yes
BEV-0032,Jambo Soda Cola,620100000032,1,Jambo Soda Cola 300ml Bottle,Beverages,Metro Pharma Supply,190.00,160.00,no,B,80,17,pcs,yes
BEV-0033,BluePeak Iced Tea,620100000033,1,BluePeak Iced Tea 500ml Bottle,Beverages,Metro Pharma Supply,80.00,55.00,no,B,35,17,pcs,yes
BEV-0034,BluePeak Soda Cola,620100000034,1,BluePeak Soda Cola 300ml Bottle,Beverages,Metro Pharma Supply,90.00,70.00,no,B,136,21,pcs,yes
BEV-0035,BluePeak Flavoured Water,620100000035,1,BluePeak Flavoured Water 500ml Bottle,Beverages,Nairobi Wholesale Traders Ltd,70.00,50.00,no,B,34,30,pcs,yes
BEV-0036,Kijani Mineral Water,620100000036,1,Kijani Mineral Water 500ml Bottle,Beverages,Nairobi Wholesale Traders Ltd,55.00,40.00,no,B,155,17,pcs,yes
BEV-0037,Kijani Flavoured Water,620100000037,1,Kijani Flavoured Water 500ml Bottle,Beverages,Metro Pharma Supply,195.00,125.00,no,B,37,19,pcs,yes
BEV-0038,Jambo Orange Soda,620100000038,1,Jambo Orange Soda 300ml Bottle,Beverages,Metro Pharma Supply,90.00,70.00,no,B,178,14,pcs,yes
BEV-0039,Metro Flavoured Water,620100000039,1,Metro Flavoured Water 500ml Bottle,Beverages,Kisumu Fresh Hub,210.00,140.00,no,B,100,19,pcs,yes
BEV-0040,Safari Juice,620100000040,1,Safari Juice 1L Pack,Beverages,Nairobi Wholesale Traders Ltd,165.00,115.00,no,B,100,14,pcs,yes
BEV-0041,Jambo Iced Tea,620100000041,1,Jambo Iced Tea 500ml Bottle,Beverages,Mount Kenya Dairy Supply,220.00,185.00,no,B,38,29,pcs,yes
BEV-0042,Metro Flavoured Water,620100000042,1,Metro Flavoured Water 500ml Bottle,Beverages,Eastern Hardware Depot,70.00,50.00,no,B,37,19,pcs,yes
BEV-0043,Safari Malted Drink,620100000043,1,Safari Malted Drink 330ml Can,Beverages,Nairobi Wholesale Traders Ltd,120.00,90.00,no,B,97,28,pcs,yes
BEV-0044,Metro Flavoured Water,620100000044,1,Metro Flavoured Water 500ml Bottle,Beverages,Nairobi Wholesale Traders Ltd,210.00,135.00,no,B,54,20,pcs,yes
BEV-0045,Jambo Orange Soda,620100000045,1,Jambo Orange Soda 300ml Bottle,Beverages,Mount Kenya Dairy Supply,70.00,50.00,no,B,73,22,pcs,yes
BEV-0046,Jambo Malted Drink,620100000046,1,Jambo Malted Drink 330ml Can,Beverages,Metro Pharma Supply,130.00,110.00,no,B,33,14,pcs,yes
BEV-0047,Kijani Malted Drink,620100000047,1,Kijani Malted Drink 330ml Can,Beverages,Mount Kenya Dairy Supply,45.00,35.00,no,B,87,17,pcs,yes
BEV-0048,BluePeak Flavoured Water,620100000048,1,BluePeak Flavoured Water 500ml Bottle,Beverages,Nairobi Wholesale Traders Ltd,145.00,95.00,no,B,58,29,pcs,yes
BEV-0049,Jambo Mineral Water,620100000049,1,Jambo Mineral Water 500ml Bottle,Beverages,Eastern Hardware Depot,140.00,100.00,no,B,30,21,pcs,yes
BEV-0050,Metro Soda Cola,620100000050,1,Metro Soda Cola 300ml Bottle,Beverages,Metro Pharma Supply,80.00,55.00,no,B,46,23,pcs,yes
BEV-0051,Safari Lemon Soda,620100000051,1,Safari Lemon Soda 500ml Bottle,Beverages,Nairobi Wholesale Traders Ltd,195.00,165.00,no,B,65,25,pcs,yes
BEV-0052,Metro Lemon Soda,620100000052,1,Metro Lemon Soda 500ml Bottle,Beverages,Rift Valley Grain Supply,180.00,130.00,no,B,83,20,pcs,yes
BEV-0053,BluePeak Orange Soda,620100000053,1,BluePeak Orange Soda 300ml Bottle,Beverages,Mount Kenya Dairy Supply,200.00,165.00,no,B,76,18,pcs,yes
BEV-0054,Metro Mineral Water,620100000054,1,Metro Mineral Water 500ml Bottle,Beverages,Mount Kenya Dairy Supply,190.00,155.00,no,B,77,12,pcs,yes
BEV-0055,Metro Juice,620100000055,1,Metro Juice 1L Pack,Beverages,Metro Pharma Supply,95.00,60.00,no,B,91,23,pcs,yes
BEV-0056,Metro Flavoured Water,620100000056,1,Metro Flavoured Water 500ml Bottle,Beverages,Kisumu Fresh Hub,210.00,135.00,no,B,86,17,pcs,yes
BEV-0057,Kijani Soda Cola,620100000057,1,Kijani Soda Cola 300ml Bottle,Beverages,Nairobi Wholesale Traders Ltd,150.00,105.00,no,B,100,25,pcs,yes
BEV-0058,Jambo Juice,620100000058,1,Jambo Juice 1L Pack,Beverages,Mount Kenya Dairy Supply,80.00,50.00,no,B,131,12,pcs,yes
BEV-0059,BluePeak Mineral Water,620100000059,1,BluePeak Mineral Water 500ml Bottle,Beverages,Nairobi Wholesale Traders Ltd,55.00,45.00,no,B,104,22,pcs,yes
BEV-0060,Jambo Malted Drink,620100000060,1,Jambo Malted Drink 330ml Can,Beverages,Rift Valley Grain Supply,100.00,70.00,no,B,123,21,pcs,yes
BEV-0061,BluePeak Energy Drink,620100000061,1,BluePeak Energy Drink 250ml Can,Beverages,Kisumu Fresh Hub,160.00,115.00,no,B,64,30,pcs,yes
BEV-0062,Jambo Juice,620100000062,1,Jambo Juice 1L Pack,Beverages,Eastern Hardware Depot,190.00,130.00,no,B,73,25,pcs,yes
BEV-0063,BluePeak Iced Tea,620100000063,1,BluePeak Iced Tea 500ml Bottle,Beverages,Nairobi Wholesale Traders Ltd,120.00,80.00,no,B,141,17,pcs,yes
BEV-0064,Jambo Malted Drink,620100000064,1,Jambo Malted Drink 330ml Can,Beverages,Kisumu Fresh Hub,160.00,120.00,no,B,43,19,pcs,yes
BEV-0065,Safari Energy Drink,620100000065,1,Safari Energy Drink 250ml Can,Beverages,Mount Kenya Dairy Supply,70.00,45.00,no,B,141,14,pcs,yes
BEV-0066,Jambo Juice,620100000066,1,Jambo Juice 1L Pack,Beverages,Mount Kenya Dairy Supply,80.00,60.00,no,B,146,24,pcs,yes
BEV-0067,Kijani Lemon Soda,620100000067,1,Kijani Lemon Soda 500ml Bottle,Beverages,Mount Kenya Dairy Supply,200.00,165.00,no,B,47,25,pcs,yes
BEV-0068,Jambo Lemon Soda,620100000068,1,Jambo Lemon Soda 500ml Bottle,Beverages,Rift Valley Grain Supply,125.00,95.00,no,B,51,26,pcs,yes
BEV-0069,Jambo Iced Tea,620100000069,1,Jambo Iced Tea 500ml Bottle,Beverages,Metro Pharma Supply,220.00,165.00,no,B,133,28,pcs,yes
BEV-0070,BluePeak Flavoured Water,620100000070,1,BluePeak Flavoured Water 500ml Bottle,Beverages,Kisumu Fresh Hub,200.00,160.00,no,B,141,26,pcs,yes
BEV-0071,Metro Energy Drink,620100000071,1,Metro Energy Drink 250ml Can,Beverages,Kisumu Fresh Hub,180.00,135.00,no,B,180,19,pcs,yes
BEV-0072,Kijani Iced Tea,620100000072,1,Kijani Iced Tea 500ml Bottle,Beverages,Nairobi Wholesale Traders Ltd,170.00,115.00,no,B,105,22,pcs,yes
BEV-0073,Safari Lemon Soda,620100000073,1,Safari Lemon Soda 500ml Bottle,Beverages,Metro Pharma Supply,85.00,65.00,no,B,74,14,pcs,yes
BEV-0074,Metro Juice,620100000074,1,Metro Juice 1L Pack,Beverages,Metro Pharma Supply,140.00,100.00,no,B,72,25,pcs,yes
BEV-0075,Jambo Soda Cola,620100000075,1,Jambo Soda Cola 300ml Bottle,Beverages,Metro Pharma Supply,110.00,70.00,no,B,110,21,pcs,yes
BEV-0076,Jambo Juice,620100000076,1,Jambo Juice 1L Pack,Beverages,Mount Kenya Dairy Supply,175.00,130.00,no,B,174,19,pcs,yes
BEV-0077,Metro Energy Drink,620100000077,1,Metro Energy Drink 250ml Can,Beverages,Rift Valley Grain Supply,120.00,75.00,no,B,106,24,pcs,yes
BEV-0078,Safari Iced Tea,620100000078,1,Safari Iced Tea 500ml Bottle,Beverages,Nairobi Wholesale Traders Ltd,215.00,160.00,no,B,120,30,pcs,yes
BEV-0079,BluePeak Orange Soda,620100000079,1,BluePeak Orange Soda 300ml Bottle,Beverages,Metro Pharma Supply,70.00,50.00,no,B,32,20,pcs,yes
BEV-0080,Safari Mineral Water,620100000080,1,Safari Mineral Water 500ml Bottle,Beverages,Metro Pharma Supply,125.00,85.00,no,B,117,20,pcs,yes
BEV-0081,Kijani Malted Drink,620100000081,1,Kijani Malted Drink 330ml Can,Beverages,Mount Kenya Dairy Supply,125.00,100.00,no,B,33,23,pcs,yes
BEV-0082,Kijani Orange Soda,620100000082,1,Kijani Orange Soda 300ml Bottle,Beverages,Rift Valley Grain Supply,175.00,145.00,no,B,71,12,pcs,yes
BEV-0083,Safari Energy Drink,620100000083,1,Safari Energy Drink 250ml Can,Beverages,Kisumu Fresh Hub,130.00,85.00,no,B,75,26,pcs,yes
BEV-0084,Safari Mineral Water,620100000084,1,Safari Mineral Water 500ml Bottle,Beverages,Kisumu Fresh Hub,150.00,125.00,no,B,49,17,pcs,yes
BEV-0085,Jambo Orange Soda,620100000085,1,Jambo Orange Soda 300ml Bottle,Beverages,Mount Kenya Dairy Supply,50.00,35.00,no,B,116,24,pcs,yes
BEV-0086,Jambo Orange Soda,620100000086,1,Jambo Orange Soda 300ml Bottle,Beverages,Nairobi Wholesale Traders Ltd,165.00,125.00,no,B,46,21,pcs,yes
BEV-0087,Metro Soda Cola,620100000087,1,Metro Soda Cola 300ml Bottle,Beverages,Eastern Hardware Depot,140.00,110.00,no,B,37,28,pcs,yes
BEV-0088,BluePeak Soda Cola,620100000088,1,BluePeak Soda Cola 300ml Bottle,Beverages,Rift Valley Grain Supply,190.00,120.00,no,B,112,26,pcs,yes
BEV-0089,Safari Juice,620100000089,1,Safari Juice 1L Pack,Beverages,Mount Kenya Dairy Supply,175.00,145.00,no,B,89,29,pcs,yes
BEV-0090,BluePeak Iced Tea,620100000090,1,BluePeak Iced Tea 500ml Bottle,Beverages,Nairobi Wholesale Traders Ltd,190.00,145.00,no,B,102,19,pcs,yes
BEV-0091,BluePeak Malted Drink,620100000091,1,BluePeak Malted Drink 330ml Can,Beverages,Eastern Hardware Depot,90.00,65.00,no,B,176,24,pcs,yes
BEV-0092,BluePeak Soda Cola,620100000092,1,BluePeak Soda Cola 300ml Bottle,Beverages,Kisumu Fresh Hub,195.00,130.00,no,B,74,23,pcs,yes
BEV-0093,Metro Mineral Water,620100000093,1,Metro Mineral Water 500ml Bottle,Beverages,Nairobi Wholesale Traders Ltd,200.00,155.00,no,B,90,29,pcs,yes
BEV-0094,Safari Flavoured Water,620100000094,1,Safari Flavoured Water 500ml Bottle,Beverages,Mount Kenya Dairy Supply,60.00,45.00,no,B,145,29,pcs,yes
BEV-0095,BluePeak Iced Tea,620100000095,1,BluePeak Iced Tea 500ml Bottle,Beverages,Metro Pharma Supply,125.00,80.00,no,B,95,19,pcs,yes
BEV-0096,Metro Energy Drink,620100000096,1,Metro Energy Drink 250ml Can,Beverages,Eastern Hardware Depot,160.00,115.00,no,B,161,28,pcs,yes
BEV-0097,Jambo Juice,620100000097,1,Jambo Juice 1L Pack,Beverages,Kisumu Fresh Hub,105.00,80.00,no,B,89,21,pcs,yes
BEV-0098,Kijani Energy Drink,620100000098,1,Kijani Energy Drink 250ml Can,Beverages,Mount Kenya Dairy Supply,170.00,120.00,no,B,157,17,pcs,yes
BEV-0099,BluePeak Energy Drink,620100000099,1,BluePeak Energy Drink 250ml Can,Beverages,Nairobi Wholesale Traders Ltd,95.00,70.00,no,B,154,21,pcs,yes
BEV-0100,Metro Energy Drink,620100000100,1,Metro Energy Drink 250ml Can,Beverages,Rift Valley Grain Supply,85.00,55.00,no,B,23,29,pcs,yes
BEV-0101,Kijani Malted Drink,620100000101,1,Kijani Malted Drink 330ml Can,Beverages,Nairobi Wholesale Traders Ltd,215.00,160.00,no,B,52,27,pcs,yes
BEV-0102,Jambo Soda Cola,620100000102,1,Jambo Soda Cola 300ml Bottle,Beverages,Nairobi Wholesale Traders Ltd,95.00,70.00,no,B,107,17,pcs,yes
BEV-0103,BluePeak Malted Drink,620100000103,1,BluePeak Malted Drink 330ml Can,Beverages,Nairobi Wholesale Traders Ltd,65.00,40.00,no,B,145,14,pcs,yes
BEV-0104,Safari Lemon Soda,620100000104,1,Safari Lemon Soda 500ml Bottle,Beverages,Nairobi Wholesale Traders Ltd,185.00,155.00,no,B,41,19,pcs,yes
BEV-0105,BluePeak Flavoured Water,620100000105,1,BluePeak Flavoured Water 500ml Bottle,Beverages,Metro Pharma Supply,150.00,120.00,no,B,77,28,pcs,yes
BEV-0106,BluePeak Iced Tea,620100000106,1,BluePeak Iced Tea 500ml Bottle,Beverages,Nairobi Wholesale Traders Ltd,95.00,70.00,no,B,129,21,pcs,yes
BEV-0107,Safari Orange Soda,620100000107,1,Safari Orange Soda 300ml Bottle,Beverages,Mount Kenya Dairy Supply,155.00,105.00,no,B,40,17,pcs,yes
BEV-0108,Jambo Lemon Soda,620100000108,1,Jambo Lemon Soda 500ml Bottle,Beverages,Kisumu Fresh Hub,60.00,35.00,no,B,135,27,pcs,yes
BEV-0109,Safari Soda Cola,620100000109,1,Safari Soda Cola 300ml Bottle,Beverages,Mount Kenya Dairy Supply,95.00,65.00,no,B,136,14,pcs,yes
BEV-0110,Jambo Malted Drink,620100000110,1,Jambo Malted Drink 330ml Can,Beverages,Mount Kenya Dairy Supply,160.00,135.00,no,B,128,15,pcs,yes
BEV-0111,Metro Lemon Soda,620100000111,1,Metro Lemon Soda 500ml Bottle,Beverages,Kisumu Fresh Hub,190.00,120.00,no,B,62,21,pcs,yes
BEV-0112,Kijani Iced Tea,620100000112,1,Kijani Iced Tea 500ml Bottle,Beverages,Mount Kenya Dairy Supply,125.00,85.00,no,B,123,20,pcs,yes
BEV-0113,Kijani Iced Tea,620100000113,1,Kijani Iced Tea 500ml Bottle,Beverages,Nairobi Wholesale Traders Ltd,150.00,125.00,no,B,102,20,pcs,yes
BEV-0114,Safari Orange Soda,620100000114,1,Safari Orange Soda 300ml Bottle,Beverages,Nairobi Wholesale Traders Ltd,215.00,175.00,no,B,167,30,pcs,yes
BEV-0115,Jambo Malted Drink,620100000115,1,Jambo Malted Drink 330ml Can,Beverages,Mount Kenya Dairy Supply,50.00,40.00,no,B,140,28,pcs,yes
BEV-0116,Safari Malted Drink,620100000116,1,Safari Malted Drink 330ml Can,Beverages,Mount Kenya Dairy Supply,220.00,160.00,no,B,145,14,pcs,yes
BEV-0117,BluePeak Mineral Water,620100000117,1,BluePeak Mineral Water 500ml Bottle,Beverages,Metro Pharma Supply,105.00,80.00,no,B,61,22,pcs,yes
BEV-0118,Metro Iced Tea,620100000118,1,Metro Iced Tea 500ml Bottle,Beverages,Mount Kenya Dairy Supply,160.00,115.00,no,B,160,13,pcs,yes
BEV-0119,Metro Orange Soda,620100000119,1,Metro Orange Soda 300ml Bottle,Beverages,Nairobi Wholesale Traders Ltd,90.00,60.00,no,B,123,28,pcs,yes
BEV-0120,BluePeak Flavoured Water,620100000120,1,BluePeak Flavoured Water 500ml Bottle,Beverages,Mount Kenya Dairy Supply,115.00,75.00,no,B,112,27,pcs,yes
SNA-0001,Cheza Potato Crisps,620200000001,2,Cheza Potato Crisps 50g,Snacks,Mount Kenya Dairy Supply,65.00,40.00,no,B,93,24,pcs,yes
SNA-0002,Crunchy Cheese Puffs,620200000002,2,Crunchy Cheese Puffs 45g,Snacks,Kisumu Fresh Hub,175.00,135.00,no,B,81,15,pcs,yes
SNA-0003,Crunchy Pretzels,620200000003,2,Crunchy Pretzels 60g,Snacks,Nairobi Wholesale Traders Ltd,110.00,70.00,no,B,49,24,pcs,yes
SNA-0004,Nibble Biscuits,620200000004,2,Nibble Biscuits 200g,Snacks,Mount Kenya Dairy Supply,170.00,115.00,no,B,89,23,pcs,yes
SNA-0005,Cheza Candy Mix,620200000005,2,Cheza Candy Mix 90g,Snacks,Nairobi Wholesale Traders Ltd,95.00,60.00,no,B,68,14,pcs,yes
SNA-0006,Nibble Groundnuts,620200000006,2,Nibble Groundnuts 100g,Snacks,Kisumu Fresh Hub,75.00,60.00,no,B,88,10,pcs,yes
SNA-0007,Tastee Groundnuts,620200000007,2,Tastee Groundnuts 100g,Snacks,Mount Kenya Dairy Supply,115.00,90.00,no,B,58,24,pcs,yes
SNA-0008,Safari Popcorn,620200000008,2,Safari Popcorn 80g,Snacks,Mount Kenya Dairy Supply,110.00,80.00,no,B,136,20,pcs,yes
SNA-0009,Tastee Chocolate Wafer,620200000009,2,Tastee Chocolate Wafer 100g,Snacks,Eastern Hardware Depot,80.00,65.00,no,B,125,11,pcs,yes
SNA-0010,Nibble Candy Mix,620200000010,2,Nibble Candy Mix 90g,Snacks,Nairobi Wholesale Traders Ltd,80.00,60.00,no,B,58,25,pcs,yes
SNA-0011,Tastee Biscuits,620200000011,2,Tastee Biscuits 200g,Snacks,Nairobi Wholesale Traders Ltd,175.00,120.00,no,B,45,24,pcs,yes
SNA-0012,Nibble Pretzels,620200000012,2,Nibble Pretzels 60g,Snacks,Mount Kenya Dairy Supply,20.00,15.00,no,B,59,12,pcs,yes
SNA-0013,Safari Groundnuts,620200000013,2,Safari Groundnuts 100g,Snacks,Metro Pharma Supply,120.00,85.00,no,B,40,20,pcs,yes
SNA-0014,Nibble Popcorn,620200000014,2,Nibble Popcorn 80g,Snacks,Kisumu Fresh Hub,160.00,100.00,no,B,37,17,pcs,yes
SNA-0015,Crunchy Chocolate Wafer,620200000015,2,Crunchy Chocolate Wafer 100g,Snacks,Rift Valley Grain Supply,90.00,60.00,no,B,45,24,pcs,yes
SNA-0016,Crunchy Groundnuts,620200000016,2,Crunchy Groundnuts 100g,Snacks,Eastern Hardware Depot,25.00,20.00,no,B,95,21,pcs,yes
SNA-0017,Cheza Cookies,620200000017,2,Cheza Cookies 150g,Snacks,Rift Valley Grain Supply,60.00,45.00,no,B,66,15,pcs,yes
SNA-0018,Tastee Cheese Puffs,620200000018,2,Tastee Cheese Puffs 45g,Snacks,Rift Valley Grain Supply,160.00,120.00,no,B,81,25,pcs,yes
SNA-0019,Nibble Chocolate Wafer,620200000019,2,Nibble Chocolate Wafer 100g,Snacks,Kisumu Fresh Hub,120.00,85.00,no,B,22,24,pcs,yes
SNA-0020,Cheza Pretzels,620200000020,2,Cheza Pretzels 60g,Snacks,Kisumu Fresh Hub,30.00,25.00,no,B,96,23,pcs,yes
SNA-0021,Safari Candy Mix,620200000021,2,Safari Candy Mix 90g,Snacks,Mount Kenya Dairy Supply,50.00,35.00,no,B,143,13,pcs,yes
